user_id,hashrate,money
159801,368.389718,`0.000574853751650709
159806,4039.086147,`0.00633456026134224
159807,658.6246165,`0.0010329310072669
159808,-997.5182463,`-0.00156442304333052
159812,3203.893617,`0.00502471510900035
159813,2018.022945,`0.00316489608966534
159815,1919.53449,`0.00301043514772787
159816,2165.907067,`0.00339682500879193
159873,-0.050017,`-7.84424214067585E-08
159881,-0.039093747,`-6.13113178811464E-08
159898,-0.336704476,`-5.28058752535153E-07
159903,-0.895323455,`-1.40414939774854E-06
159904,-0.046375915,`-7.27320535648874E-08
159911,-0.052508268,`-0.0000000823495151933
159913,-0.012264705,`-1.91963376535059E-08
159914,1202.381217,`0.00188571275745038
159916,-238.3163426,`-0.000373755146259003
159918,27.52209354,`0.0000431633180611635
159920,2240.701118,`0.00351412565686203
159921,1295.362771,`0.00203153714370913
159925,1210.957264,`0.0018991627024013
159928,-395.0014207,`-0.000619486738255385
159929,3229.892372,`0.0050654893519157
159956,86.66652477,`0.000135238782376198
159963,-96.89394718,`-0.00015196025164125
159964,-307.9456593,`-0.00048295586295464
159965,-74.8879286,`-0.000117447877883056
159966,-150.1104776,`-0.000235420546084425
159975,-97.72902506,`-0.000152193799219883
159979,-14.1358389,`-0.0000220137981181919
159980,1.578314208,`2.45791498971626E-06
159982,-234.6347992,`-0.000367243148528333
159983,-240.3353239,`-0.000376165433802582
159985,-2.259580236,`-3.53662526988263E-06
159986,-136.3159185,`-0.000213357469892801
159987,-0.206391987,`-3.23038369575525E-07
159990,0.067455877,`1.05579857094281E-07
159992,-0.065156245,`-1.01980543784247E-07
159993,0.053658084,`8.39839772340874E-08
159995,-0.233795937,`-3.65930186519957E-07
160024,0.894106567,`1.39942801207937E-06
160025,-2.64299599,`-4.13673577863657E-06
160027,3.373943655,`5.29140716968344E-06
