user_id,pps,pplns,pool-pps,pool-pplns
159801,`0.000547322328971612,`2.75314226790974E-05,`4.41388974977092E-06,`2.22027602250803E-07
159806,`0.00603117969621514,`0.000303380565127102,`1.81479830377602E-05,`9.12880336390043E-07
159807,`0.000983460928872608,`4.94700783942872E-05,`2.95926056832286E-06,`1.48856805599661E-07
159808,`-0.00148949826127739,`-0.000074924782053128,`-4.48194060564998E-06,`-2.25450698254195E-07
159812,`0.00478406684827196,`0.000240648260728394,`1.43953867049306E-05,`0.000000724117133586
159813,`0.00301331998577841,`0.000151576103886929,`9.06716144166014E-06,`0.000000456096601466
159815,`0.00286625662882265,`0.000144178518905217,`8.62464381792003E-06,`4.33837067920011E-07
159816,`0.00323414115256688,`0.000162683856225058,`9.73161831263007E-06,`0.000000489520129063
159873,`-7.46855850748742E-08,`-3.75683633188424E-09,`-2.24730948068894E-10,`-1.13044222624399E-11
159881,`-5.83749400585242E-08,`-2.93637782262225E-09,`-1.75651775502E-10,`-8.83564038903975E-12
159898,`-5.02768478837373E-07,`-2.52902736977802E-08,`-1.51284396841691E-09,`-7.60991184486988E-11
159903,`-1.33690058800692E-06,`-6.72488097416203E-08,`-4.02277007425016E-09,`-2.02353489694007E-10
159904,`-6.92487034027572E-08,`-3.48335016213022E-09,`-2.08371223879894E-10,`-1.048149497131E-11
159911,`-7.84055567452703E-08,`-3.94395844803173E-09,`-2.35924443566503E-10,`-1.186747777743E-11
159913,`-1.82769690587777E-08,`-9.19368594728196E-10,`-9.18440656219999E-11,`-4.61994268707593E-12
159914,`0.00179540047397366,`9.03122834767162E-05,`5.40240864786994E-06,`2.71752106750412E-07
159916,`-0.000355854922279257,`-1.79002239797451E-05,`-1.07077709813301E-06,`-5.38622587154012E-08
159918,`0.000041096100877033,`2.06721718413046E-06,`1.23659280472499E-07,`6.22031248985994E-09
159920,`0.00334582393050344,`0.000168301726358595,`1.00676748159599E-05,`0.000000506424452433
159921,`0.00193424090508994,`9.72962386191869E-05,`5.82018326507013E-06,`2.92767016908202E-07
159925,`0.00180820626183525,`9.09564405660472E-05,`5.44094161034005E-06,`2.73690392876795E-07
159928,`-0.000589817711679444,`-2.96690265759412E-05,`-1.77477746744108E-06,`-8.92749044411015E-08
159929,`0.00482288829377944,`0.000242601058136255,`1.45122014857998E-05,`0.00000072999315387
159956,`0.000128761802675685,`6.47697970051335E-06,`1.03840163448099E-06,`5.22337072622004E-08
159963,`-0.000144682432010877,`-7.27781963037328E-06,`-4.3535335610099E-07,`-2.18991563601996E-08
159964,`-0.000459825698177649,`-2.31301647769911E-05,`-1.38362797846798E-06,`-6.95992922076007E-08
159965,`-0.000111822956484393,`-5.62492139866237E-06,`-0.000000336478304367,`-1.69255408184402E-08
159966,`-0.00022414556954825,`-1.12749765361755E-05,`-6.74460088910994E-07,`-3.39267097377996E-08
159975,`-0.000144904794314847,`-7.28900490503584E-06,`-0.000001463684791059,`-7.362631217208E-08
159979,`-2.09594931249238E-05,`-1.05430499326813E-06,`-2.11712051766899E-07,`-1.064954538655E-08
159980,`2.34019827255672E-06,`1.17716717159541E-07,`2.36383663894599E-08,`1.18905774908601E-09
159982,`-0.000349654803111603,`-1.75883454167305E-05,`-1.75705931211801E-06,`-8.83836453102018E-08
159983,`-0.000358149774122974,`-1.80156596796077E-05,`-1.79974760865801E-06,`-9.05309531639027E-08
159985,`-3.36724597143825E-06,`-1.69379298444377E-07,`-1.69208340273301E-08,`-8.51152253489996E-10
159986,`-0.000203139158420545,`-1.02183114722554E-05,`-1.02079979105802E-06,`-5.13482988554994E-08
159987,`-3.07567119942359E-07,`-1.54712496331662E-08,`-1.54556341679596E-09,`-7.77449730310009E-11
159990,`1.00523329823276E-07,`5.056527271005E-09,`5.05142360921006E-10,`2.54096847789198E-11
159992,`-9.7096398124754E-08,`-4.8841456594934E-09,`-4.87921598616794E-10,`-2.45434455251004E-11
159993,`7.99617396321516E-08,`4.02223760193581E-09,`4.01817787096198E-10,`2.02122492559496E-11
159995,`-3.48404722682951E-07,`-1.75254638370063E-08,`-1.75077750091897E-09,`-8.80676574722994E-11
160024,`1.33240532326697E-06,`6.70226888124E-08,`6.69550413701994E-09,`3.36797431217991E-10
160025,`-3.93861543775622E-06,`-1.98120340880353E-07,`-1.979203737566E-08,`-9.95579602414014E-10
160027,`0.000005037986248384,`2.53420921299438E-07,`1.51594370563205E-08,`7.62550415143977E-10
