user_id,pps_fee_rate,pplns_fee_rate
159797,0.002,0.002
159801,0.008,0.008
159806,0.003,0.003
159807,0.003,0.003
159808,0.003,0.003
159812,0.003,0.003
159813,0.003,0.003
159815,0.003,0.003
159816,0.003,0.003
159878,0.003,0.003
159913,0.005,0.005
159914,0.003,0.003
159916,0.003,0.003
159918,0.003,0.003
159920,0.003,0.003
159921,0.003,0.003
159924,0.003,0.003
159925,0.003,0.003
159928,0.003,0.003
159929,0.003,0.003
159930,0.003,0.003
159931,0.003,0.003
159932,0.008,0.008
159933,0.008,0.008
159934,0.008,0.008
159956,0.008,0.008
159958,0.008,0.008
159963,0.003,0.003
159964,0.003,0.003
159965,0.003,0.003
159966,0.003,0.003
159975,0.01,0.01
159981,0.002,0.002
159982,0.005,0.005
159983,0.005,0.005
159985,0.005,0.005
159986,0.005,0.005
159987,0.005,0.005
159988,0.005,0.005
159990,0.005,0.005
159992,0.005,0.005
159993,0.005,0.005
160027,0.003,0.003
